MonthYear,Station,Entry_Exit,Trip
2017-01,West Ryde Station,Entry,90640
2017-01,West Ryde Station,Exit,90520
2017-01,Westmead Station,Entry,141350
2017-01,Westmead Station,Exit,136800
2017-01,Wiley Park Station,Entry,42310
2017-01,Wiley Park Station,Exit,37730
2017-01,Windsor Station,Entry,17210
2017-01,Windsor Station,Exit,16610
2017-01,Wingello Station,Entry,90
2017-01,Wingello Station,Exit,80
2017-01,Wirragulla Station,Entry,Less than 50
2017-01,Wirragulla Station,Exit,Less than 50
2017-01,Wolli Creek Station,Entry,175090
2017-01,Wolli Creek Station,Exit,174970
2017-01,Wollongong Station,Entry,47250
2017-01,Wollongong Station,Exit,46010
2017-01,Wollstonecraft Station,Entry,63870
2017-01,Wollstonecraft Station,Exit,56430
2017-01,Wombarra Station,Entry,780
2017-01,Wombarra Station,Exit,620
2017-01,Wondabyne Station,Entry,240
2017-01,Wondabyne Station,Exit,250
2017-01,Woodford Station,Entry,2580
2017-01,Woodford Station,Exit,2680
2017-01,Woolooware Station,Entry,25780
2017-01,Woolooware Station,Exit,24060
2017-01,Woonona Station,Entry,3540
2017-01,Woonona Station,Exit,3160
2017-01,Woy Woy Station,Entry,98700
2017-01,Woy Woy Station,Exit,100800
2017-01,Wyee Station,Entry,5400
2017-01,Wyee Station,Exit,4700
2017-01,Wynyard Station,Entry,1474800
2017-01,Wynyard Station,Exit,1567780
2017-01,Wyong Station,Entry,32220
2017-01,Wyong Station,Exit,31140
2017-01,Yagoona Station,Entry,34950
2017-01,Yagoona Station,Exit,31000
2017-01,Yennora Station,Entry,19460
2017-01,Yennora Station,Exit,19730
2017-01,Yerrinbool Station,Entry,750
2017-01,Yerrinbool Station,Exit,590
2017-01,Zig Zag Station,Entry,Less than 50
2017-01,Zig Zag Station,Exit,Less than 50
2017-02,Aberdeen Station,Entry,60
2017-02,Aberdeen Station,Exit,Less than 50
2017-02,Adamstown Station,Entry,1570
2017-02,Adamstown Station,Exit,1590
2017-02,Albion Park Station,Entry,6060
2017-02,Albion Park Station,Exit,5200
2017-02,Allawah Station,Entry,64860
2017-02,Allawah Station,Exit,57850
2017-02,Arncliffe Station,Entry,56580
2017-02,Arncliffe Station,Exit,50940
2017-02,Artarmon Station,Entry,144730
2017-02,Artarmon Station,Exit,135250
2017-02,Ashfield Station,Entry,311260
2017-02,Ashfield Station,Exit,304030
2017-02,Asquith Station,Entry,32990
2017-02,Asquith Station,Exit,28030
2017-02,Auburn Station,Entry,284190
2017-02,Auburn Station,Exit,277910
2017-02,Austinmer Station,Entry,3450
2017-02,Austinmer Station,Exit,2980
2017-02,Awaba Station,Entry,560
2017-02,Awaba Station,Exit,390
2017-02,Banksia Station,Entry,39910
2017-02,Banksia Station,Exit,36820
2017-02,Bankstown Station,Entry,198750
2017-02,Bankstown Station,Exit,205940
2017-02,Bardwell Park Station,Entry,27930
2017-02,Bardwell Park Station,Exit,25670
2017-02,Bargo Station,Entry,1740
2017-02,Bargo Station,Exit,1650
2017-02,Bathurst Station,Entry,2200
2017-02,Bathurst Station,Exit,1540
2017-02,Beecroft Station,Entry,47590
2017-02,Beecroft Station,Exit,45300
2017-02,Bell Station,Entry,Less than 50
2017-02,Bell Station,Exit,Less than 50
2017-02,Bellambi Station,Entry,2930
2017-02,Bellambi Station,Exit,2740
2017-02,Belmore Station,Entry,65100
2017-02,Belmore Station,Exit,60730
2017-02,Berala Station,Entry,42670
2017-02,Berala Station,Exit,40100
2017-02,Beresfield Station,Entry,3920
2017-02,Beresfield Station,Exit,3480
2017-02,Berowra Station,Entry,37160
2017-02,Berowra Station,Exit,34070
2017-02,Berry Station,Entry,2000
2017-02,Berry Station,Exit,1890
2017-02,Beverly Hills Station,Entry,52220
2017-02,Beverly Hills Station,Exit,47660
2017-02,Bexley North Station,Entry,27390
2017-02,Bexley North Station,Exit,25110
2017-02,Birrong Station,Entry,23710
2017-02,Birrong Station,Exit,21360
2017-02,Blackheath Station,Entry,6180
2017-02,Blackheath Station,Exit,5890
2017-02,Blacktown Station,Entry,394200
2017-02,Blacktown Station,Exit,410600
2017-02,Blaxland Station,Entry,16180
2017-02,Blaxland Station,Exit,14800
2017-02,Bomaderry Station,Entry,8920
2017-02,Bomaderry Station,Exit,7700
2017-02,Bombo Station,Entry,640
2017-02,Bombo Station,Exit,490
2017-02,Bondi Junction Station,Entry,704590
2017-02,Bondi Junction Station,Exit,694000
2017-02,Booragul Station,Entry,1130
2017-02,Booragul Station,Exit,1010
2017-02,Bowral Station,Entry,6170
2017-02,Bowral Station,Exit,5300
2017-02,Branxton Station,Entry,60
2017-02,Branxton Station,Exit,110
2017-02,Broadmeadow Station,Entry,21570
2017-02,Broadmeadow Station,Exit,20430
2017-02,Bullaburra Station,Entry,1970
2017-02,Bullaburra Station,Exit,1940
2017-02,Bulli Station,Entry,4570
2017-02,Bulli Station,Exit,4310
2017-02,Bundanoon Station,Entry,450
2017-02,Bundanoon Station,Exit,260
2017-02,Burradoo Station,Entry,310
2017-02,Burradoo Station,Exit,350
2017-02,Burwood Station,Entry,412270
2017-02,Burwood Station,Exit,418880
2017-02,Cabramatta Station,Entry,183450
2017-02,Cabramatta Station,Exit,176930
2017-02,Camellia Station,Entry,1400
2017-02,Camellia Station,Exit,1850
2017-02,Campbelltown Station,Entry,128590
2017-02,Campbelltown Station,Exit,127800
2017-02,Campsie Station,Entry,183870
2017-02,Campsie Station,Exit,179290
2017-02,Canley Vale Station,Entry,56560
2017-02,Canley Vale Station,Exit,50730
2017-02,Canterbury Station,Entry,61610
2017-02,Canterbury Station,Exit,55480
2017-02,Cardiff Station,Entry,16640
2017-02,Cardiff Station,Exit,15360
2017-02,Caringbah Station,Entry,71980
2017-02,Caringbah Station,Exit,68070
2017-02,Carlingford Station,Entry,7660
2017-02,Carlingford Station,Exit,5990
2017-02,Carlton Station,Entry,65710
2017-02,Carlton Station,Exit,60590
2017-02,Carramar Station,Entry,12500
2017-02,Carramar Station,Exit,10750
2017-02,Casula Station,Entry,7410
2017-02,Casula Station,Exit,6590
2017-02,Central Station,Entry,2413890
2017-02,Central Station,Exit,2439610
2017-02,Chatswood Station,Entry,659310
2017-02,Chatswood Station,Exit,687680
2017-02,Cheltenham Station,Entry,30040
2017-02,Cheltenham Station,Exit,25620
2017-02,Chester Hill Station,Entry,23400
2017-02,Chester Hill Station,Exit,21160
2017-02,Circular Quay Station,Entry,830780
2017-02,Circular Quay Station,Exit,812020
2017-02,Civic Station,Entry,1010
2017-02,Civic Station,Exit,430
2017-02,Clarendon Station,Entry,1930
2017-02,Clarendon Station,Exit,1940
2017-02,Clyde Station,Entry,17170
2017-02,Clyde Station,Exit,17330
2017-02,Coalcliff Station,Entry,310
2017-02,Coalcliff Station,Exit,330
2017-02,Cockle Creek Station,Entry,740
2017-02,Cockle Creek Station,Exit,660
2017-02,Coledale Station,Entry,1070
2017-02,Coledale Station,Exit,920
2017-02,Como Station,Entry,19430
2017-02,Como Station,Exit,16620
2017-02,Concord West Station,Entry,50070
2017-02,Concord West Station,Exit,47250
2017-02,Coniston Station,Entry,6260
2017-02,Coniston Station,Exit,5670
2017-02,Corrimal Station,Entry,4180
2017-02,Corrimal Station,Exit,3760
2017-02,Cowan Station,Entry,1570
2017-02,Cowan Station,Exit,1570
2017-02,Cringila Station,Entry,370
2017-02,Cringila Station,Exit,270
2017-02,Cronulla Station,Entry,77460
2017-02,Cronulla Station,Exit,76450
2017-02,Croydon Station,Entry,53890
2017-02,Croydon Station,Exit,48860
2017-02,Dapto Station,Entry,13500
2017-02,Dapto Station,Exit,12800
2017-02,Denistone Station,Entry,13320
2017-02,Denistone Station,Exit,11890
2017-02,Domestic Station,Entry,225920
2017-02,Domestic Station,Exit,217420
2017-02,Doonside Station,Entry,56240
2017-02,Doonside Station,Exit,49600
2017-02,Dora Creek Station,Entry,1000
2017-02,Dora Creek Station,Exit,980
2017-02,Douglas Park Station,Entry,760
2017-02,Douglas Park Station,Exit,770
2017-02,Dulwich Hill Station,Entry,65730
2017-02,Dulwich Hill Station,Exit,59070
2017-02,Dundas Station,Entry,4550
2017-02,Dundas Station,Exit,3480
2017-02,Dungog Station,Entry,460
2017-02,Dungog Station,Exit,320
2017-02,East Hills Station,Entry,25180
2017-02,East Hills Station,Exit,23720
2017-02,East Maitland Station,Entry,720
2017-02,East Maitland Station,Exit,840
2017-02,East Richmond Station,Entry,5140
2017-02,East Richmond Station,Exit,5970
2017-02,Eastwood Station,Entry,184430
2017-02,Eastwood Station,Exit,181750
2017-02,Edgecliff Station,Entry,232410
2017-02,Edgecliff Station,Exit,224690
2017-02,Edmondson Park Station,Entry,22360
2017-02,Edmondson Park Station,Exit,20750
2017-02,Emu Plains Station,Entry,33880
2017-02,Emu Plains Station,Exit,31430
2017-02,Engadine Station,Entry,31180
2017-02,Engadine Station,Exit,29870
2017-02,Epping Station,Entry,258440
2017-02,Epping Station,Exit,255890
2017-02,Erskineville Station,Entry,63830
2017-02,Erskineville Station,Exit,57760
2017-02,Exeter Station,Entry,120
2017-02,Exeter Station,Exit,70
2017-02,Fairfield Station,Entry,174520
2017-02,Fairfield Station,Exit,171000
2017-02,Fairy Meadow Station,Entry,2820
2017-02,Fairy Meadow Station,Exit,2920
2017-02,Fassifern Station,Entry,10330
2017-02,Fassifern Station,Exit,9530
2017-02,Faulconbridge Station,Entry,2890
2017-02,Faulconbridge Station,Exit,2540
2017-02,Flemington Station,Entry,106490
2017-02,Flemington Station,Exit,99740
2017-02,Gerringong Station,Entry,1550
2017-02,Gerringong Station,Exit,1330
2017-02,Glenbrook Station,Entry,12400
2017-02,Glenbrook Station,Exit,11200
2017-02,Glenfield Station,Entry,115740
2017-02,Glenfield Station,Exit,110070
2017-02,Gordon Station,Entry,158500
2017-02,Gordon Station,Exit,152910
2017-02,Gosford Station,Entry,124560
2017-02,Gosford Station,Exit,124240
2017-02,Goulburn Station,Entry,1230
2017-02,Goulburn Station,Exit,940
2017-02,Granville Station,Entry,155080
2017-02,Granville Station,Exit,147390
2017-02,Green Square Station,Entry,235070
2017-02,Green Square Station,Exit,225730
2017-02,Greta Station,Entry,60
2017-02,Greta Station,Exit,70
2017-02,Guildford Station,Entry,65210
2017-02,Guildford Station,Exit,57610
2017-02,Gymea Station,Entry,54470
2017-02,Gymea Station,Exit,51140
2017-02,Hamilton Station,Entry,43290
2017-02,Hamilton Station,Exit,43670
2017-02,Harris Park Station,Entry,55780
2017-02,Harris Park Station,Exit,52640
2017-02,Hawkesbury River Station,Entry,6860
2017-02,Hawkesbury River Station,Exit,6870
2017-02,Hazelbrook Station,Entry,8480
2017-02,Hazelbrook Station,Exit,8060
2017-02,Heathcote Station,Entry,14420
2017-02,Heathcote Station,Exit,13460
2017-02,Helensburgh Station,Entry,15080
2017-02,Helensburgh Station,Exit,13830
2017-02,Hexham Station,Entry,330
2017-02,Hexham Station,Exit,290
2017-02,High Street Station,Entry,500
2017-02,High Street Station,Exit,600
2017-02,Hilldale Station,Entry,70
2017-02,Hilldale Station,Exit,70
2017-02,Holsworthy Station,Entry,79180
2017-02,Holsworthy Station,Exit,74350
2017-02,Homebush Station,Entry,69810
2017-02,Homebush Station,Exit,67100
2017-02,Hornsby Station,Entry,287100
2017-02,Hornsby Station,Exit,294280
2017-02,Hurlstone Park Station,Entry,32420
2017-02,Hurlstone Park Station,Exit,28270
2017-02,Hurstville Station,Entry,477510
2017-02,Hurstville Station,Exit,487500
2017-02,Ingleburn Station,Entry,74760
2017-02,Ingleburn Station,Exit,74910
2017-02,International Station,Entry,132870
2017-02,International Station,Exit,135550
2017-02,Jannali Station,Entry,61050
2017-02,Jannali Station,Exit,59440
2017-02,Katoomba Station,Entry,33860
2017-02,Katoomba Station,Exit,36080
2017-02,Kembla Grange Station,Entry,Less than 50
2017-02,Kembla Grange Station,Exit,Less than 50
2017-02,Kiama Station,Entry,13170
2017-02,Kiama Station,Exit,12740
2017-02,Killara Station,Entry,54470
2017-02,Killara Station,Exit,50590
2017-02,Kings Cross Station,Entry,431520
2017-02,Kings Cross Station,Exit,445930
2017-02,Kingsgrove Station,Entry,59840
2017-02,Kingsgrove Station,Exit,58070
2017-02,Kingswood Station,Entry,46590
2017-02,Kingswood Station,Exit,41990
2017-02,Kirrawee Station,Entry,35540
2017-02,Kirrawee Station,Exit,32110
2017-02,Kogarah Station,Entry,273730
2017-02,Kogarah Station,Exit,265980
2017-02,Koolewong Station,Entry,2730
2017-02,Koolewong Station,Exit,2120
2017-02,Kotara Station,Entry,810
2017-02,Kotara Station,Exit,790
2017-02,Lakemba Station,Entry,85990
2017-02,Lakemba Station,Exit,80420
2017-02,Lapstone Station,Entry,3440
2017-02,Lapstone Station,Exit,3010
2017-02,Lawson Station,Entry,4750
2017-02,Lawson Station,Exit,4390
2017-02,Leightonfield Station,Entry,5060
2017-02,Leightonfield Station,Exit,5720
2017-02,Leppington Station,Entry,30730
2017-02,Leppington Station,Exit,28740
2017-02,Leumeah Station,Entry,58540
2017-02,Leumeah Station,Exit,56560
2017-02,Leura Station,Entry,12340
2017-02,Leura Station,Exit,9290
2017-02,Lewisham Station,Entry,65070
2017-02,Lewisham Station,Exit,57490
2017-02,Lidcombe Station,Entry,296480
2017-02,Lidcombe Station,Exit,289040
2017-02,Linden Station,Entry,480
2017-02,Linden Station,Exit,470
2017-02,Lindfield Station,Entry,84080
2017-02,Lindfield Station,Exit,79010
2017-02,Lisarow Station,Entry,4740
2017-02,Lisarow Station,Exit,4150
2017-02,Lithgow Station,Entry,6800
2017-02,Lithgow Station,Exit,6170
2017-02,Liverpool Station,Entry,182350
2017-02,Liverpool Station,Exit,184730
2017-02,Lochinvar Station,Entry,Less than 50
2017-02,Lochinvar Station,Exit,Less than 50
2017-02,Loftus Station,Entry,13340
2017-02,Loftus Station,Exit,12190
2017-02,Lysaghts Station,Entry,Less than 50
2017-02,Lysaghts Station,Exit,Less than 50
2017-02,Macarthur Station,Entry,60540
2017-02,Macarthur Station,Exit,60860
2017-02,Macdonaldtown Station,Entry,37870
2017-02,Macdonaldtown Station,Exit,39440
2017-02,Macquarie Fields Station,Entry,23920
2017-02,Macquarie Fields Station,Exit,20570
2017-02,Macquarie Park Station,Entry,99680
2017-02,Macquarie Park Station,Exit,97620
2017-02,Macquarie University Station,Entry,217470
2017-02,Macquarie University Station,Exit,227330
2017-02,Maitland Station,Entry,8300
2017-02,Maitland Station,Exit,7690
2017-02,Marayong Station,Entry,22400
2017-02,Marayong Station,Exit,19960
2017-02,Marrickville Station,Entry,100020
2017-02,Marrickville Station,Exit,94760
2017-02,Martin Place Station,Entry,513070
2017-02,Martin Place Station,Exit,569110
2017-02,Martins Creek Station,Entry,90
2017-02,Martins Creek Station,Exit,70
2017-02,Marulan Station,Entry,100
2017-02,Marulan Station,Exit,70
2017-02,Mascot Station,Entry,307090
2017-02,Mascot Station,Exit,303880
2017-02,Meadowbank Station,Entry,99020
2017-02,Meadowbank Station,Exit,91080
2017-02,Medlow Bath Station,Entry,1130
2017-02,Medlow Bath Station,Exit,1080
2017-02,Menangle Park Station,Entry,260
2017-02,Menangle Park Station,Exit,320
2017-02,Menangle Station,Entry,300
2017-02,Menangle Station,Exit,310
2017-02,Merrylands Station,Entry,128910
2017-02,Merrylands Station,Exit,123440
2017-02,Metford Station,Entry,1900
2017-02,Metford Station,Exit,1680
2017-02,Milsons Point Station,Entry,207930
2017-02,Milsons Point Station,Exit,207740
2017-02,Mindaribba Station,Entry,Less than 50
2017-02,Mindaribba Station,Exit,Less than 50
2017-02,Minnamurra Station,Entry,2780
2017-02,Minnamurra Station,Exit,2650
2017-02,Minto Station,Entry,72850
2017-02,Minto Station,Exit,68940
2017-02,Miranda Station,Entry,94800
2017-02,Miranda Station,Exit,98870
2017-02,Mittagong Station,Entry,4090
2017-02,Mittagong Station,Exit,3790
2017-02,Morisset Station,Entry,20450
2017-02,Morisset Station,Exit,18420
2017-02,Mortdale Station,Entry,86490
2017-02,Mortdale Station,Exit,79330
2017-02,Moss Vale Station,Entry,4870
2017-02,Moss Vale Station,Exit,4530
2017-02,Mount Colah Station,Entry,11930
2017-02,Mount Colah Station,Exit,10910
2017-02,Mount Druitt Station,Entry,165610
2017-02,Mount Druitt Station,Exit,160270
2017-02,Mount Kuring-gai Station,Entry,5820
2017-02,Mount Kuring-gai Station,Exit,5620
2017-02,Mount Victoria Station,Entry,2610
2017-02,Mount Victoria Station,Exit,2470
2017-02,Mulgrave Station,Entry,7470
2017-02,Mulgrave Station,Exit,7200
2017-02,Museum Station,Entry,305610
2017-02,Museum Station,Exit,329650
2017-02,Muswellbrook Station,Entry,650
2017-02,Muswellbrook Station,Exit,440
2017-02,Narara Station,Entry,8670
2017-02,Narara Station,Exit,6940
2017-02,Narwee Station,Entry,40440
2017-02,Narwee Station,Exit,36330
2017-02,Newcastle Interchange,Entry,470
2017-02,Newcastle Interchange,Exit,190
2017-02,Newcastle Station,Entry,960
2017-02,Newcastle Station,Exit,530
2017-02,Newtown Station,Entry,243170
2017-02,Newtown Station,Exit,262800
2017-02,Niagara Park Station,Entry,3290
2017-02,Niagara Park Station,Exit,2710
2017-02,Normanhurst Station,Entry,40990
2017-02,Normanhurst Station,Exit,33920
2017-02,North Ryde Station,Entry,48850
2017-02,North Ryde Station,Exit,50700
2017-02,North Strathfield Station,Entry,60920
2017-02,North Strathfield Station,Exit,58850
2017-02,North Sydney Station,Entry,670660
2017-02,North Sydney Station,Exit,694590
2017-02,North Wollongong Station,Entry,34630
2017-02,North Wollongong Station,Exit,34010
2017-02,Oak Flats Station,Entry,11240
2017-02,Oak Flats Station,Exit,9870
2017-02,Oatley Station,Entry,51240
2017-02,Oatley Station,Exit,47960
2017-02,Olympic Park Station,Entry,74440
2017-02,Olympic Park Station,Exit,89500
2017-02,Otford Station,Entry,1580
2017-02,Otford Station,Exit,1470
2017-02,Ourimbah Station,Entry,6500
2017-02,Ourimbah Station,Exit,5830
2017-02,Padstow Station,Entry,96080
2017-02,Padstow Station,Exit,90320
2017-02,Panania Station,Entry,34460
2017-02,Panania Station,Exit,31690
2017-02,Parramatta Station,Entry,832490
2017-02,Parramatta Station,Exit,869680
2017-02,Paterson Station,Entry,120
2017-02,Paterson Station,Exit,90
2017-02,Pendle Hill Station,Entry,70450
2017-02,Pendle Hill Station,Exit,63870
2017-02,Pennant Hills Station,Entry,76140
2017-02,Pennant Hills Station,Exit,76720
2017-02,Penrith Station,Entry,168070
2017-02,Penrith Station,Exit,171350
2017-02,Penrose Station,Entry,Less than 50
2017-02,Penrose Station,Exit,Less than 50
2017-02,Penshurst Station,Entry,77480
2017-02,Penshurst Station,Exit,68310
2017-02,Petersham Station,Entry,81920
2017-02,Petersham Station,Exit,78940
2017-02,Picton Station,Entry,4920
2017-02,Picton Station,Exit,4170
2017-02,Point Clare Station,Entry,5290
2017-02,Point Clare Station,Exit,4350
2017-02,Port Kembla North Station,Entry,210
2017-02,Port Kembla North Station,Exit,220
2017-02,Port Kembla Station,Entry,1470
2017-02,Port Kembla Station,Exit,1280
2017-02,Punchbowl Station,Entry,62240
2017-02,Punchbowl Station,Exit,57860
2017-02,Pymble Station,Entry,62750
2017-02,Pymble Station,Exit,55900
2017-02,Quakers Hill Station,Entry,73260
2017-02,Quakers Hill Station,Exit,64100
2017-02,Redfern Station,Entry,459070
2017-02,Redfern Station,Exit,478660
2017-02,Regents Park Station,Entry,29880
2017-02,Regents Park Station,Exit,28770
2017-02,Revesby Station,Entry,94020
2017-02,Revesby Station,Exit,90350
2017-02,Rhodes Station,Entry,205170
2017-02,Rhodes Station,Exit,199690
2017-02,Richmond Station,Entry,19660
2017-02,Richmond Station,Exit,17980
2017-02,Riverstone Station,Entry,17280
2017-02,Riverstone Station,Exit,15130
2017-02,Riverwood Station,Entry,99110
2017-02,Riverwood Station,Exit,92380
2017-02,Rockdale Station,Entry,253520
2017-02,Rockdale Station,Exit,244290
2017-02,Rooty Hill Station,Entry,59550
2017-02,Rooty Hill Station,Exit,56440
2017-02,Rosehill Station,Entry,4440
2017-02,Rosehill Station,Exit,3690
2017-02,Roseville Station,Entry,66140
2017-02,Roseville Station,Exit,60770
2017-02,Rydalmere Station,Entry,3370
2017-02,Rydalmere Station,Exit,3970
2017-02,Sandgate Station,Entry,410
2017-02,Sandgate Station,Exit,350
2017-02,Scarborough Station,Entry,390
2017-02,Scarborough Station,Exit,410
2017-02,Schofields Station,Entry,31770
2017-02,Schofields Station,Exit,29830
2017-02,Scone Station,Entry,280
2017-02,Scone Station,Exit,160
2017-02,Sefton Station,Entry,14260
2017-02,Sefton Station,Exit,11920
2017-02,Seven Hills Station,Entry,140430
2017-02,Seven Hills Station,Exit,135410
2017-02,Shellharbour Junction Station,Entry,3630
2017-02,Shellharbour Junction Station,Exit,3700
2017-02,Singleton Station,Entry,670
2017-02,Singleton Station,Exit,400
2017-02,Springwood Station,Entry,29000
2017-02,Springwood Station,Exit,27320
2017-02,St James Station,Entry,255180
2017-02,St James Station,Exit,261740
2017-02,St Leonards Station,Entry,401460
2017-02,St Leonards Station,Exit,404820
2017-02,St Marys Station,Entry,99030
2017-02,St Marys Station,Exit,95530
2017-02,St Peters Station,Entry,93600
2017-02,St Peters Station,Exit,82680
2017-02,Stanmore Station,Entry,93520
2017-02,Stanmore Station,Exit,82440
2017-02,Stanwell Park Station,Entry,1690
2017-02,Stanwell Park Station,Exit,1620
2017-02,Strathfield Station,Entry,541030
2017-02,Strathfield Station,Exit,528670
2017-02,Summer Hill Station,Entry,91420
2017-02,Summer Hill Station,Exit,84180
2017-02,Sutherland Station,Entry,171930
2017-02,Sutherland Station,Exit,166170
2017-02,Sydenham Station,Entry,154760
2017-02,Sydenham Station,Exit,149920
2017-02,Tahmoor Station,Entry,4140
2017-02,Tahmoor Station,Exit,3830
2017-02,Tallong Station,Entry,80
2017-02,Tallong Station,Exit,Less than 50
2017-02,Tarro Station,Entry,200
2017-02,Tarro Station,Exit,160
2017-02,Tascott Station,Entry,4240
2017-02,Tascott Station,Exit,3500
2017-02,Telarah Station,Entry,2940
2017-02,Telarah Station,Exit,2400
2017-02,Telopea Station,Entry,6680
2017-02,Telopea Station,Exit,5130
2017-02,Tempe Station,Entry,35270
2017-02,Tempe Station,Exit,33590
2017-02,Teralba Station,Entry,780
2017-02,Teralba Station,Exit,630
2017-02,Thirroul Station,Entry,26340
2017-02,Thirroul Station,Exit,24350
2017-02,Thornleigh Station,Entry,46590
2017-02,Thornleigh Station,Exit,44930
2017-02,Thornton Station,Entry,4040
2017-02,Thornton Station,Exit,3370
2017-02,Toongabbie Station,Entry,54980
2017-02,Toongabbie Station,Exit,50680
2017-02,Town Hall Station,Entry,2519410
2017-02,Town Hall Station,Exit,2555340
2017-02,Towradgi Station,Entry,1950
2017-02,Towradgi Station,Exit,1890
2017-02,Tuggerah Station,Entry,31360
2017-02,Tuggerah Station,Exit,30470
2017-02,Turramurra Station,Entry,99590
2017-02,Turramurra Station,Exit,95080
2017-02,Turrella Station,Entry,28050
2017-02,Turrella Station,Exit,25190
2017-02,Unanderra Station,Entry,11090
2017-02,Unanderra Station,Exit,10530
2017-02,Valley Heights Station,Entry,1780
2017-02,Valley Heights Station,Exit,1620
2017-02,Victoria Street Station,Entry,6150
2017-02,Victoria Street Station,Exit,5200
2017-02,Villawood Station,Entry,11960
2017-02,Villawood Station,Exit,10830
2017-02,Vineyard Station,Entry,2350
2017-02,Vineyard Station,Exit,2370
2017-02,Wahroonga Station,Entry,49910
2017-02,Wahroonga Station,Exit,47100
2017-02,Waitara Station,Entry,80430
2017-02,Waitara Station,Exit,77820
2017-02,Wallarobba Station,Entry,Less than 50
2017-02,Wallarobba Station,Exit,Less than 50
2017-02,Warabrook Station,Entry,5740
2017-02,Warabrook Station,Exit,5530
2017-02,Waratah Station,Entry,4050
2017-02,Waratah Station,Exit,3690
2017-02,Warnervale Station,Entry,5480
2017-02,Warnervale Station,Exit,5050
2017-02,Warrawee Station,Entry,27320
2017-02,Warrawee Station,Exit,23990
2017-02,Warrimoo Station,Entry,4500
2017-02,Warrimoo Station,Exit,4060
2017-02,Warwick Farm Station,Entry,54070
2017-02,Warwick Farm Station,Exit,49110
2017-02,Waterfall Station,Entry,9940
2017-02,Waterfall Station,Exit,10040
2017-02,Waverton Station,Entry,58680
2017-02,Waverton Station,Exit,50400
2017-02,Wentworth Falls Station,Entry,11420
2017-02,Wentworth Falls Station,Exit,10290
2017-02,Wentworthville Station,Entry,76650
2017-02,Wentworthville Station,Exit,71860
2017-02,Werrington Station,Entry,23490
2017-02,Werrington Station,Exit,20910
2017-02,West Ryde Station,Entry,99150
2017-02,West Ryde Station,Exit,98960
2017-02,Westmead Station,Entry,169670
2017-02,Westmead Station,Exit,161280
2017-02,Wiley Park Station,Entry,42450
2017-02,Wiley Park Station,Exit,38350
2017-02,Windsor Station,Entry,20280
2017-02,Windsor Station,Exit,19330
2017-02,Wingello Station,Entry,90
2017-02,Wingello Station,Exit,70
2017-02,Wirragulla Station,Entry,Less than 50
2017-02,Wirragulla Station,Exit,Less than 50
2017-02,Wolli Creek Station,Entry,174530
2017-02,Wolli Creek Station,Exit,171260
2017-02,Wollongong Station,Entry,50510
2017-02,Wollongong Station,Exit,49980
2017-02,Wollstonecraft Station,Entry,66410
2017-02,Wollstonecraft Station,Exit,58940
2017-02,Wombarra Station,Entry,920
2017-02,Wombarra Station,Exit,780
2017-02,Wondabyne Station,Entry,210
2017-02,Wondabyne Station,Exit,190
2017-02,Woodford Station,Entry,2630
2017-02,Woodford Station,Exit,2310
2017-02,Woolooware Station,Entry,30730
2017-02,Woolooware Station,Exit,28500
2017-02,Woonona Station,Entry,4220
2017-02,Woonona Station,Exit,3500
2017-02,Woy Woy Station,Entry,105200
2017-02,Woy Woy Station,Exit,107370
2017-02,Wyee Station,Entry,5930
2017-02,Wyee Station,Exit,5140
2017-02,Wynyard Station,Entry,1598520
2017-02,Wynyard Station,Exit,1718390
2017-02,Wyong Station,Entry,35580
2017-02,Wyong Station,Exit,32830
2017-02,Yagoona Station,Entry,38380
2017-02,Yagoona Station,Exit,34340
2017-02,Yennora Station,Entry,21860
2017-02,Yennora Station,Exit,22010
2017-02,Yerrinbool Station,Entry,680
2017-02,Yerrinbool Station,Exit,640
2017-02,Zig Zag Station,Entry,Less than 50
2017-02,Zig Zag Station,Exit,Less than 50
2017-03,Aberdeen Station,Entry,80
2017-03,Aberdeen Station,Exit,60
2017-03,Adamstown Station,Entry,1920
2017-03,Adamstown Station,Exit,1780
2017-03,Albion Park Station,Entry,7620
2017-03,Albion Park Station,Exit,6390
2017-03,Allawah Station,Entry,79900
2017-03,Allawah Station,Exit,70480
2017-03,Arncliffe Station,Entry,70050
2017-03,Arncliffe Station,Exit,62880
2017-03,Artarmon Station,Entry,172480
2017-03,Artarmon Station,Exit,160210
2017-03,Ashfield Station,Entry,357340
2017-03,Ashfield Station,Exit,346900
2017-03,Asquith Station,Entry,38000
2017-03,Asquith Station,Exit,31580
2017-03,Auburn Station,Entry,342600
2017-03,Auburn Station,Exit,333500
2017-03,Austinmer Station,Entry,4080
2017-03,Austinmer Station,Exit,3350
2017-03,Awaba Station,Entry,650
2017-03,Awaba Station,Exit,470
2017-03,Banksia Station,Entry,47650
2017-03,Banksia Station,Exit,43990
2017-03,Bankstown Station,Entry,241800
2017-03,Bankstown Station,Exit,251210
2017-03,Bardwell Park Station,Entry,32510
2017-03,Bardwell Park Station,Exit,29440
2017-03,Bargo Station,Entry,2000
2017-03,Bargo Station,Exit,1940
2017-03,Bathurst Station,Entry,2850
2017-03,Bathurst Station,Exit,1910
2017-03,Beecroft Station,Entry,55320
2017-03,Beecroft Station,Exit,52620
2017-03,Bell Station,Entry,70
2017-03,Bell Station,Exit,60
